order_item_id,order_id,product_id,quantity,unit_price
1,1,32,2,77.14
2,1,69,-1,175.49
3,2,74,0,34.31
4,2,78,3,121.77
5,3,96,1,84.49
6,3,121,1,317.45 JOD
7,3,82,1,244.2
8,3,73,0,239.12
9,4,84,1,455.31
10,4,40,1,199.53
11,4,50,2,397.99
12,4,17,3,185.99
13,5,43,2,330.6
14,5,5,1,407.25
15,5,50,3,397.99
16,5,108,3,242.9
17,5,93,2,345.11
18,6,120,1,201.77
19,6,26,1,264.67
20,7,122,1,125.50
21,7,79,0,210.8
22,7,77,4,148.66
23,7,112,2,183.26
24,8,48,1,23.1
25,8,18,3,128.87
26,8,6,1,46.39
27,8,116,5,359.58
28,8,27,1,112.66
29,9,98,1,243.42
30,10,118,2,306.5
31,10,71,3,374.89
32,10,58,1,109.02
33,10,27,-1,112.66
34,10,81,1,144.54
35,11,123,5,151.87
36,11,27,3,112.66
37,11,110,-1,121.75
38,11,125,1,661.15
39,12,131,1,396.05
40,12,81,4,121.47
41,13,71,2,475.86
42,13,32,0,150.88
43,14,102,1,169.19
44,14,65,2,308.91
45,15,61,5,101.6
46,16,37,2,241.65
47,16,48,5,23.1
48,17,28,3,222.75
49,17,12,2,214.91
50,17,86,4,164.39
51,17,26,1,264.67
52,18,59,-1,169.88 JOD
53,18,101,1,95.6
54,18,117,2,143.1
55,19,123,2,151.87
56,20,12,2,214.91
57,21,40,2,199.53
58,21,102,2,169.19 JOD
59,21,9999,3,98.77
60,22,127,2,587.72
61,23,53,2,37.16
62,23,3,1,390.52
63,24,15,4,81.29
64,24,83,1,319.19
65,24,81,1,121.47
66,24,107,3,376.14
67,24,57,2,213.11
68,25,20,5,110.76
69,25,36,1,19.0
70,26,60,-1,16.37
71,26,69,1,175.49
72,26,93,1,345.11
73,26,121,5,317.45
74,26,71,1,374.89
75,27,115,1,302.06
76,27,70,3,379.91
77,27,48,1,23.1
78,27,9999,3,231.0
79,28,98,1,243.42
80,28,104,2,98.77
81,28,125,0,552.19
82,28,4,4,377.59
83,29,37,4,241.65
84,29,130,3,
85,30,125,1,552.19
86,30,33,1,407.76
87,31,41,1,191.67
88,31,34,4,220.1
89,31,135,2,18.43
90,31,137,3,307.70
91,31,53,1,37.16
92,32,53,1,37.16
93,33,127,3,$587.72
94,33,20,0,110.76
95,33,102,2,194.46
96,34,57,1,213.11
97,35,105,3,528.06
98,35,85,0,8.08
99,35,89,0,403.36
100,35,116,2,359.58
101,35,106,3,252.84
102,36,95,1,545.43
103,36,129,1,535.98
104,36,134,5,40.0
105,36,107,1,376.14
106,36,15,3,81.29
107,37,81,2,121.47
108,37,50,1,397.99
109,37,118,3,306.5
110,37,64,4,364.68
111,38,59,3,169.88
112,38,67,2,291.96
113,38,80,2,144.45
114,38,19,4,67.77
115,38,30,4,32.4
116,39,98,1,189.19
117,39,116,1,453.71
118,39,94,1,445.86
119,40,75,1,347.56
120,40,97,1,369.73
121,41,13,1,186.29
122,41,29,2,181.96
123,41,67,1,291.96
124,41,49,3,206.38
125,41,93,5,345.11
126,42,114,1,403.81
127,42,81,1,121.47
128,42,10,1,28.04
129,42,51,5,286.54
130,42,48,1,24.09
131,43,116,2,359.58
132,43,71,-1,374.89
133,43,32,1,105.62
134,44,126,3,200.63
135,45,45,2,415.91
136,45,129,3,364.27
137,46,88,1,238.01
138,46,68,1,304.43
139,46,40,5,199.53
140,47,92,1,339.88
141,47,52,2,171.01
142,47,113,3,191.78
143,48,73,5,331.02
144,49,41,1,250.90
145,50,97,2,$369.73
146,50,72,0,404.50
147,50,132,5,82.53
148,50,131,2,396.05
149,51,70,0,379.91
150,52,94,4,389.5
151,52,65,1,308.91
152,52,69,4,175.49
153,52,27,1,132.4
154,53,24,1,452.75
155,53,99,4,140.32
156,53,59,1,169.88
157,53,20,3,110.76
158,54,17,0,185.99
159,54,29,-1,181.96
160,54,81,2,121.47
161,54,100,0,249.16
162,55,63,1,$575.86
163,55,129,2,535.98
164,55,1,1,460.23
165,56,116,1,359.58
166,56,41,2,191.67
167,57,14,2,429.63
168,57,15,0,81.29
169,57,137,2,307.7
170,57,103,4,244.50
171,57,65,4,308.91
172,58,91,1,243.25
173,58,111,3,291.81
174,58,25,2,253.88
175,59,117,2,143.1
176,59,127,2,587.72
177,59,125,1,552.19
178,60,29,1,181.96
179,60,43,4,330.6
180,60,44,2,106.26
181,61,10,1,28.04
182,61,33,1,407.76
183,61,38,2,454.80
184,62,63,1,611.8
185,62,53,3,37.16
186,63,97,1,369.73
187,63,60,0,16.37
188,63,23,1,68.95
189,63,64,1,265.5
190,64,133,3,97.51
191,65,54,1,89.36
192,66,128,1,369.54
193,67,51,1,286.54
194,68,68,2,304.43
195,68,113,3,191.78
196,68,58,2,109.02
197,68,21,1,14.38
198,68,121,3,317.45
199,69,101,2,95.60
200,69,78,2,79.72
201,69,84,1,455.31
202,69,82,2,244.2
203,70,4,2,546.12
204,70,86,0,164.39
205,70,57,5,$213.11
206,70,102,2,169.19
207,71,35,0,152.88
208,71,34,1,220.10
209,71,31,1,71.76
210,71,109,1,579.16
211,71,1,2,585.67
212,72,43,1,
213,72,10,1,28.04
214,73,113,1,205.67
215,73,57,3,213.11
216,74,128,3,286.41
217,74,71,2,374.89
218,74,69,2,175.49
219,74,36,2,19.30
220,75,136,4,314.21
221,75,21,2,14.38
222,75,18,1,128.87
223,76,111,1,291.81
224,76,43,2,446.56
225,76,59,0,169.88
226,76,125,4,$552.19
227,77,63,4,575.86
228,77,18,3,128.87
229,77,131,2,489.3
230,77,48,2,23.1
231,78,92,3,339.88
232,78,135,1,26.48
233,79,133,2,97.51
234,79,13,2,186.29
235,80,136,1,314.21
236,80,81,1,121.47
237,80,46,1,$136.73
238,80,99,1,140.32
239,81,27,2,112.66
240,82,115,1,302.06
241,82,97,3,369.73
242,82,35,1,119.84
243,83,43,1,330.6
244,83,121,1,317.45
245,83,75,1,347.56
246,83,112,3,202.88
247,83,23,2,68.95
248,84,58,2,109.02
249,85,59,1,169.88
250,85,6,1,46.78
251,86,87,1,262.59
252,86,24,1,360.88
253,87,110,3,193.85
254,87,23,3,68.95 JOD
255,87,99,0,$140.32
256,88,40,1,199.53
257,88,105,3,528.06
258,88,30,2,43.65
259,88,24,2,360.88
260,88,134,1,40.00
261,89,125,5,552.19
262,89,101,2,95.6
263,89,41,1,267.51
264,90,46,1,136.73
265,90,129,5,535.98
266,91,127,1,587.72
267,91,81,2,121.47 JOD
268,92,104,3,98.77
269,92,33,4,407.76
270,92,99,3,140.32
271,92,62,1,205.4
272,93,80,3,144.45
273,93,67,4,291.96
274,93,107,1,376.14
275,93,68,1,304.43
276,93,53,3,37.16
277,94,58,1,109.02
278,94,108,1,242.9
279,94,125,2,552.19
280,95,22,3,36.29 JOD
281,95,117,1,143.10
282,95,48,0,23.1
