order_id,customer_id,store_id,employee_id,order_date,payment_method,discount_pct,order_status
1,1224,10,13,"March 28, 2024",PayPal,0.0,Completed
2,629,11,11,2026-04-22,CASH,0.2,Returned
3,784,11,49,12 Jan 2023,Store Credit,5%,Completed
4,513,3,16,05/01/2026,Debit Card,0.0,Completed
5,1023,6,82,"July 09, 2024",CASH,0.0,Completed
6,397,11,35,2026/01/21,NaN,0.0,Completed
7,721,8,17,2023/06/04,Gift Card,0.1,Completed
8,949,77,35,18-07-2023,Gift Card,0.05,Returned
9,297,10,45,25 Aug 2023,Credit Card,0.0,PENDING
10,48,12,19,21 Sep 2025,NaN,0.15,Completed
11,373,5,2,12/08/2024,PayPal,0.0,Completed
12,699,1,999,"June 12, 2026",Store Credit,5%,Completed
13,532,4,5,16-09-2024,CASH,0.0,Completed
14,1145,8,68,06/05/2025,credit card,0.05,completed
15,487,2,27,02/10/2024,Debit Card,0.0,Completed
16,181,2,25,25 Jun 2023,PayPal,5%,Completed
17,164,13,74,,credit card,5%,Completed
18,526,77,67,03/29/2023,Store Credit,0.05,Completed
19,594,5,10,06 Feb 2023,Credit Card,0.05,Completed
20,903,3,72,2023/04/14,CASH,0.0,Completed
21,1156,6,29,02 Jan 2024,Store Credit,0.0,Completed
22,1059,7,81,07-07-2026,CASH,0.05,Completed
23,342,6,85,05/01/2023,Store Credit,0.2,Completed
24,4,13,15,2026-04-03,CASH,5%,Completed
25,875,9,39,16/01/2026,Debit  Card,0.05,Completed
26,818,5,42,2025/11/29,PayPal,10%,Completed
27,973,6,19,24/11/2023,credit card,0.0,Completed
28,676,10,81,05-11-2025,Store Credit,0.0,Cancelled
29,179,11,9,2025/04/14,Debit Card,10%,Completed
30,247,77,84,20-07-2026,credit card,0.0,Completed
31,729,13,41,08-01-2023,Cash,0.0,Completed
32,875,4,2,26-03-2026,Store Credit,15%,Completed
33,226,7,25,"December 01, 2024",Debit  Card,10%,Completed
34,576,3,17,05/22/2023,PayPal,0.05,Completed
35,983,7,53,07-02-2025,CASH,0.05,Completed
36,170,13,82,05 Jul 2026,Gift Card,0.15,Completed
37,11,2,43,19 Sep 2024,Store Credit,0.15,completed
38,996,2,45,07-10-2024,Gift Card,0.0,Completed
39,84,10,56,30/12/2024,Debit Card,0.0,Completed
40,682,12,27,"September 13, 2023",Cash,0.0,Completed
41,1087,77,45,04/14/2023,Store Credit,0.0,Completed
42,176,6,42,2025/01/24,Gift Card,0.1,Completed
43,1019,8,44,02/25/2026,CASH,0.15,Completed
44,760,7,62,2024-04-12,Debit  Card,5%,Completed
45,46,77,62,"April 29, 2026",Cash,10%,Completed
46,990,6,48,16-03-2026,Cash,0.0,Completed
47,339,6,27,"April 29, 2026",Debit Card,0.05,Completed
48,501,9,83,23/12/2023,CASH,0.0,Completed
49,1193,1,62,26-06-2023,Gift Card,0.0,Completed
50,885,9,61,26 Jul 2025,Debit Card,5%,Completed
51,1193,5,79,2025/10/31,Gift Card,15%,Completed
52,432,6,76,2026-01-17,Cash,0.0,Completed
53,517,8,59,13-04-2025,Gift Card,0.15,Completed
54,538,12,69,08/07/2024,Store Credit,0.0,Completed
55,458,6,35,2023-07-12,CASH,0.05,Completed
56,767,8,28,05/25/2023,Store Credit,5%,Completed
57,1132,1,87,03/08/2023,PayPal,0.1,Completed
58,1028,2,84,"September 24, 2023",PayPal,0.0,Completed
59,397,7,22,2023/11/24,PayPal,0.0,Completed
60,953,2,33,2025/08/17,Cash,0.0,Cancelled
61,1209,8,89,2026/02/28,credit card,0.0,PENDING
62,1062,12,28,22/03/2024,Credit Card,0.0,Completed
63,796,2,3,2024/07/15,Credit Card,0.0,Completed
64,73,7,59,27/06/2025,Store Credit,0.05,Completed
65,1084,6,41,2025-08-09,credit card,5%,Completed
66,1126,13,75,02/04/2026,CASH,0.0,Completed
67,730,12,68,11/25/2024,Debit Card,5%,Completed
68,175,4,30,"August 24, 2024",Credit Card,0.1,Completed
69,959,77,40,04/02/2024,CASH,0.0,Completed
70,461,6,62,04 Dec 2025,Cash,0.1,Completed
71,46,4,11,2023/08/09,Credit Card,0.1,Completed
72,468,13,47,07 Jul 2026,Debit Card,0.1,Completed
73,357,77,44,2026/05/22,Debit  Card,0.0,Returned
74,140,3,65,"August 17, 2023",Cash,0.15,Completed
75,264,4,22,16 Jun 2023,Debit Card,0.0,Completed
76,222,10,63,05/26/2025,credit card,0.1,Completed
77,808,13,41,25/06/2025,credit card,0.0,Completed
78,650,5,37,31 Oct 2023,Store Credit,15%,Completed
79,702,2,28,2024-02-28,credit card,0.0,Completed
80,1106,2,89,27/11/2023,Store Credit,0.05,Completed
81,573,77,64,11/05/2025,Credit Card,20%,Completed
82,1070,4,26,2026-07-02,Cash,0.0,Completed
83,425,7,2,17/12/2023,PayPal,0.0,Completed
84,1174,1,54,"February 11, 2023",Gift Card,0.05,Completed
85,765,1,62,2026/05/17,CASH,0.0,Completed
86,302,1,37,2023-11-29,PayPal,0.05,Completed
87,1177,4,6,01 May 2025,PayPal,0.0,Completed
88,526,10,55,08/01/2024,Credit Card,0.0,Returned
89,473,10,88,01 Sep 2024,Credit Card,0.0,Completed
90,997,11,2,2025-08-23,Debit  Card,0.0,Completed
91,142,12,48,"February 09, 2026",Debit Card,5%,Completed
92,23,8,36,2026-01-08,Gift Card,0.0,Completed
93,284,13,44,,Debit Card,0.2,Completed
94,52,9,11,2023-07-02,Debit Card,5%,Returned
95,475,4,48,09/10/2023,N/A,0.05,Completed
96,669,77,11,"May 04, 2026",Gift Card,0.0,Completed
97,251,1,21,09 Jul 2026,Cash,10%,Completed
98,388,2,74,2024/01/08,Debit  Card,0.0,Completed
99,452,6,78,02 Dec 2024,Debit  Card,0.0,Completed
100,708,7,65,2025-09-25,Debit Card,0.0,Returned
101,783,1,43,08/11/2025,Store Credit,0.0,Completed
102,918,7,72,03 Oct 2024,CASH,0.0,Completed
103,893,77,8,2026/05/11,Debit  Card,0.0,Completed
104,478,77,11,08/15/2025,Gift Card,0.05,Completed
105,861,12,58,07-07-2026,credit card,0.0,Completed
106,1112,5,69,11/08/2024,Gift Card,0.15,Completed
107,706,7,3,2026-03-22,Debit  Card,0.15,Completed
108,738,77,75,03 Jun 2024,Cash,10%,Completed
109,1180,8,51,2023/09/27,credit card,0.0,Completed
110,1049,10,59,17-05-2025,Store Credit,0.0,Returned
111,51,13,27,2025/04/21,CASH,0.05,Completed
112,854,1,56,04 Jun 2025,CASH,0.0,Completed
113,840,13,71,06/08/2023,Debit  Card,0.0,Completed
114,84,13,84,08/10/2023,CASH,0.0,Completed
115,377,12,57,08/09/2023,Gift Card,0.0,Completed
116,1135,10,54,"December 22, 2025",Debit Card,0.0,Completed
