product_id,product_name,category,subcategory,unit_price,unit_cost,supplier,active
1,Enter Headphone,ELECTRONICS,Headphones,585.67,277.44,Skinner-Taylor,1
2,Take Headphones,electronics,Headphones,190.97,-,Murray-Smith,1
3,Another Headphones,electronics,Headphones,390.52,,"BROWN, WILSON AND BOWERS",FALSE
4,Can Headphones,ELECTRONICS,Headphones,546.12,275.49,Clark Ltd,1
5,Structure Smartphones,Electronics,Smartphones,407.25,NULL,Spencer-Garcia,1
6,Inside Smartphone,Electronics,Smartphones,46.39,34.76,Hines-Davis,TRUE
7,Color Smartphones  ,electronics,Smartphones,152.65,94.87,Black-Stephens,
8,Nation Smartphones,Electronics,Smartphones,307.70 JOD,148.46,Burnett Ltd,FALSE
9,Hit Smartphones,ELECTRONICS,Smartphones,178.19,121.53,Rodriguez-Watkins,TRUE
10,Trouble Laptop,electronics,Laptops,28.04,-,"Rodriguez, Cooper and Brown",TRUE
11,Become Laptops,electronics,Laptops,$489.65,239.86,Romero Group,
12,Local Laptop,Electronics,Laptops,214.91,108.53,Wright Group,TRUE
13,Seem Laptops,Electronic,Laptops,186.29,125.89,Cook Inc,0
14,Tax Laptops,electronics,Laptops,429.63,,Ward-Schmidt,Yes
15,Fact Laptops,Electronics,Laptops,81.29,37.32,Evans-Owen,Yes
16,Continue Charger,electronics,Chargers,148.16,73.67,padilla inc,No
17, Adult Chargers ,ELECTRONICS,Chargers,185.99,NULL,"Graham, Bailey and Villarreal",FALSE
18,Require Chargers,Electronics,Chargers,128.87,85.56,Griffin-Warner,No
19,Pick Chargers,electronics,Chargers,67.77,47.37,Crawford-Harris,No
20,Option Charger,electronics,Chargers,110.76,72.79,Cook Ltd,1
21,Suggest Smart Watche,Electronic,Smart Watches,14.38,9.24,Lawson and Sons,
22,Test Smart Watches,ELECTRONICS,Smart Watches,36.29,27.20,WEEKS-MASSEY,Yes
23, Visit Smart Watches ,electronics,Smart Watches,68.95,36.18,Kim-Hernandez,TRUE
24,Head Smart Watches,ELECTRONICS,Smart Watches,360.88,252.87,"Brown, Allen and Taylor",FALSE
